[2025-10-02 23:24:16,228][main_train.py][line:80][INFO] Epoch:[64/300]	 loss=125.05286	 acc=73.884	 avg_spikes=0.000
[2025-10-02 23:24:16,738][main_train.py][line:84][INFO] Epoch:[64/300]	 Test acc=80.180	 Test avg_spikes=0.000

[2025-10-02 23:24:16,738][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:24:20,396][main_train.py][line:80][INFO] Epoch:[65/300]	 loss=124.54832	 acc=74.024	 avg_spikes=0.000
[2025-10-02 23:24:20,936][main_train.py][line:84][INFO] Epoch:[65/300]	 Test acc=81.630	 Test avg_spikes=0.000

[2025-10-02 23:24:20,937][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:24:24,521][main_train.py][line:80][INFO] Epoch:[66/300]	 loss=124.02385	 acc=74.262	 avg_spikes=0.000
[2025-10-02 23:24:25,079][main_train.py][line:84][INFO] Epoch:[66/300]	 Test acc=77.210	 Test avg_spikes=0.000

[2025-10-02 23:24:25,079][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:24:28,720][main_train.py][line:80][INFO] Epoch:[67/300]	 loss=125.16356	 acc=74.008	 avg_spikes=0.000
[2025-10-02 23:24:29,254][main_train.py][line:84][INFO] Epoch:[67/300]	 Test acc=71.090	 Test avg_spikes=0.000

[2025-10-02 23:24:29,254][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:24:32,979][main_train.py][line:80][INFO] Epoch:[68/300]	 loss=124.39937	 acc=74.126	 avg_spikes=0.000
[2025-10-02 23:24:33,500][main_train.py][line:84][INFO] Epoch:[68/300]	 Test acc=81.050	 Test avg_spikes=0.000

[2025-10-02 23:24:33,500][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:24:36,936][main_train.py][line:80][INFO] Epoch:[69/300]	 loss=122.91032	 acc=74.330	 avg_spikes=0.000
[2025-10-02 23:24:37,431][main_train.py][line:84][INFO] Epoch:[69/300]	 Test acc=78.070	 Test avg_spikes=0.000

[2025-10-02 23:24:37,431][main_train.py][line:91][INFO] Best Test acc=82.680
[2025-10-02 23:24:40,970][main_train.py][line:80][INFO] Epoch:[70/300]	 loss=125.05826	 acc=74.036	 avg_spikes=0.000
[2025-10-02 23:24:41,495][main_train.py][line:84][INFO] Epoch:[70/300]	 Test acc=83.530	 Test avg_spikes=0.000

[2025-10-02 23:24:41,505][main_train.py][line:91][INFO] Best Test acc=83.530
[2025-10-02 23:24:45,601][main_train.py][line:80][INFO] Epoch:[71/300]	 loss=124.36055	 acc=74.036	 avg_spikes=0.000
[2025-10-02 23:24:46,133][main_train.py][line:84][INFO] Epoch:[71/300]	 Test acc=80.250	 Test avg_spikes=0.000

[2025-10-02 23:24:46,133][main_train.py][line:91][INFO] Best Test acc=83.530
[2025-10-02 23:24:49,751][main_train.py][line:80][INFO] Epoch:[72/300]	 loss=124.14522	 acc=74.178	 avg_spikes=0.000
[2025-10-02 23:24:50,230][main_train.py][line:84][INFO] Epoch:[72/300]	 Test acc=82.990	 Test avg_spikes=0.000

[2025-10-02 23:24:50,230][main_train.py][line:91][INFO] Best Test acc=83.530
[2025-10-02 23:24:54,174][main_train.py][line:80][INFO] Epoch:[73/300]	 loss=124.02924	 acc=74.154	 avg_spikes=0.000
[2025-10-02 23:24:54,690][main_train.py][line:84][INFO] Epoch:[73/300]	 Test acc=79.710	 Test avg_spikes=0.000

[2025-10-02 23:24:54,690][main_train.py][line:91][INFO] Best Test acc=83.530
[2025-10-02 23:24:58,050][main_train.py][line:80][INFO] Epoch:[74/300]	 loss=123.35680	 acc=74.062	 avg_spikes=0.000
[2025-10-02 23:24:58,549][main_train.py][line:84][INFO] Epoch:[74/300]	 Test acc=76.260	 Test avg_spikes=0.000

[2025-10-02 23:24:58,549][main_train.py][line:91][INFO] Best Test acc=83.530
[2025-10-02 23:25:01,849][main_train.py][line:80][INFO] Epoch:[75/300]	 loss=123.81950	 acc=74.180	 avg_spikes=0.000
[2025-10-02 23:25:02,379][main_train.py][line:84][INFO] Epoch:[75/300]	 Test acc=80.390	 Test avg_spikes=0.000

[2025-10-02 23:25:02,379][main_train.py][line:91][INFO] Best Test acc=83.530
